,OBJECTID,Shape,shape_id,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_type_text,whole_route_length_km,jlm_route_length_km,percent_inside_jlm,Shape_Length,routeid,Direction,Alternative
345,346,"(35.177990905960534, 31.73789181111185)",137251,29099,3,80,מסוף גילה/המרגלית-ירושלים<->מסוף גילה/המרגלית-ירושלים-3#,64080-3-#,3,,Bus,3.609999895095825,3.609999895095825,1.0,0.03608482606110621,64080,3,#
346,347,"(35.210327128617884, 31.80169283793241)",137274,29554,3,57,חזון איש/מסוף רמת שלמה-ירושלים<->מסוף אגד/הר חוצבים-ירושלים-1ז,16057-1-ז,3,,Bus,16.15999984741211,16.15999984741211,1.0,0.1616005457182691,16057,1,ז
347,348,"(35.21005674291057, 31.75812545151939)",137285,34116,16,793,אגרות משה/חזון איש-ירושלים<->ורשבסקי/אריה בינה-ירושלים-20,11793-2-0,3,FF9933,Bus,26.84000015258789,26.84000015258789,1.0,0.2684476772457459,11793,2,0
348,349,"(35.20635362085967, 31.785582211979886)",137416,10383,3,1,כפר שאול/קצנלבוגן-ירושלים<->בנייני האומה/שדרות שז''ר-ירושלים-1ח,34001-1-ח,3,,Bus,20.190000534057617,20.190000534057617,1.0,0.2018954173235506,34001,1,ח
349,350,"(35.19952928891479, 31.780574373276252)",137442,5638,3,42,מסוף הר הצופים/בנימין מזר-ירושלים<->כניסה ראשית/הדסה עין כרם-ירושלים-1#,13042-1-#,3,,Bus,20.59000015258789,20.59000015258789,1.0,0.20589475202047022,13042,1,#
350,351,"(35.21848733988825, 31.79133840914368)",137445,10811,3,68,מסוף הר הצופים/בנימין מזר-ירושלים<->קמפוס ספרא/מסוף כפר ההייטק-ירושלים-1#,13068-1-#,3,,Bus,10.979999542236328,10.979999542236328,1.0,0.10981891953336792,13068,1,#
351,352,"(35.213993085118844, 31.766049340684862)",137446,10395,3,7,מלון דיפלומט-ירושלים<->קמפוס ספרא/מסוף כפר ההייטק-ירושלים-1א,18007-1-א,3,,Bus,14.5,14.5,1.0,0.14497573918928022,18007,1,א
352,353,"(35.22375619514449, 31.763955238348906)",137487,31831,16,78,תחנה תפעולית/חניון תלפיות מזרח-ירושלים<->בנייני האומה/הנשיא השישי-ירושלים-10,21078-1-0,3,,Bus,12.449999809265137,12.449999809265137,1.0,0.12452162172659065,21078,1,0
353,354,"(35.22389688545706, 31.762921591987677)",137488,31832,16,78,תחנה תפעולית/חניון תלפיות מזרח-ירושלים<->בנייני האומה/הנשיא השישי-ירושלים-11,21078-1-1,3,,Bus,13.359999656677246,13.359999656677246,1.0,0.13358997121708976,21078,1,1
354,355,"(35.22354998954014, 31.822214599126845)",137557,26280,3,845,שדרות גולדה מאיר/יצחק מירסקי-ירושלים<->וינוגרד/זווין-ירושלים-29,11845-2-9,3,FF9933,Bus,15.149999618530273,14.680000305175781,0.9689769148826599,0.15148185904173206,11845,2,9
