routeid_direction,East_JLM_lines,service_types,Directness_measurements,Settlements_lines,West_metropolin_lines,InJerusalem_lines,percent_problematic_trips,number_of_complaints,passengersnumber_thousands,socioeco_2019
10344-2,0.0,1,0.75,1.0,0.0,0.0,,0.0,0.047,2.0
10516-1,0.0,3,0.74,0.0,0.0,1.0,,0.0,16.738,2.0
10516-2,0.0,3,0.62,0.0,0.0,1.0,,0.0,12.902,2.0
10629-1,0.0,1,0.84,0.0,1.0,0.0,,0.0,0.175,2.0
10629-2,0.0,1,0.9,0.0,1.0,0.0,,0.0,0.166,2.0
10728-1,0.0,3,0.72,0.0,0.0,1.0,,0.0,0.035,2.0
10728-2,0.0,3,0.59,0.0,0.0,1.0,,0.0,0.034,2.0
10735-1,0.0,3,0.56,0.0,0.0,1.0,,0.0,0.136,2.0
10740-1,0.0,3,0.59,0.0,0.0,1.0,,0.0,0.257,2.0
10741-1,0.0,3,0.59,0.0,0.0,1.0,,0.0,0.125,2.0
10742-1,0.0,3,0.54,0.0,0.0,1.0,,0.0,0.135,2.0
10743-1,0.0,3,0.59,0.0,0.0,1.0,,0.0,0.131,2.0
10746-1,0.0,3,0.92,0.0,0.0,1.0,,0.0,0.226,2.0
10746-2,0.0,3,1.0,0.0,0.0,1.0,,0.0,0.169,2.0
10749-1,0.0,3,0.45,0.0,0.0,1.0,,0.0,0.118,2.0
10750-1,0.0,3,0.57,0.0,0.0,1.0,,0.0,0.198,2.0
10750-2,0.0,3,0.57,0.0,0.0,1.0,,0.0,0.066,2.0
10752-1,0.0,3,0.72,0.0,0.0,1.0,,0.0,0.06,2.0
10752-2,0.0,3,0.77,0.0,0.0,1.0,,0.0,0.097,2.0
10753-1,0.0,3,0.35,0.0,0.0,1.0,,0.0,0.003,2.0
10753-2,0.0,3,0.48,0.0,0.0,1.0,,0.0,0.032,2.0
10754-1,0.0,3,0.44,0.0,0.0,1.0,,0.0,0.097,2.0
10754-2,0.0,3,0.44,0.0,0.0,1.0,,0.0,0.065,2.0
10755-1,0.0,3,0.88,0.0,0.0,1.0,,0.0,0.107,2.0
10756-1,0.0,3,0.79,0.0,0.0,1.0,,0.0,0.264,2.0
10757-1,0.0,3,0.73,0.0,0.0,1.0,,0.0,0.144,2.0
10757-2,0.0,3,0.58,0.0,0.0,1.0,,0.0,0.149,2.0
10758-1,0.0,3,0.78,0.0,0.0,1.0,,0.0,0.047,2.0
10758-2,0.0,3,0.5,0.0,0.0,1.0,,0.0,0.103,2.0
10760-1,0.0,3,0.735,0.0,0.0,1.0,,0.0,0.44,2.0
10760-2,0.0,3,0.65,0.0,0.0,1.0,,0.0,0.174,2.0
10762-1,0.0,3,0.58,0.0,0.0,1.0,,0.0,0.027,2.0
10762-2,0.0,3,0.61,0.0,0.0,1.0,,0.0,0.01,2.0
10763-1,0.0,3,0.88,0.0,0.0,1.0,,0.0,0.019,2.0
10763-2,0.0,3,0.61,0.0,0.0,1.0,,0.0,0.09,2.0
10765-2,0.0,3,0.75,0.0,0.0,1.0,,0.0,0.013,2.0
10773-1,0.0,3,0.57,0.0,0.0,1.0,,0.0,0.082,2.0
10773-2,0.0,3,0.49,0.0,0.0,1.0,,0.0,0.008,2.0
10780-1,0.0,3,0.7,0.0,0.0,1.0,,0.0,0.437,2.0
10780-2,0.0,3,0.62,0.0,0.0,1.0,,0.0,0.195,2.0
10781-1,0.0,3,0.66,0.0,0.0,1.0,,0.0,0.647,2.0
10781-2,0.0,3,0.65,0.0,0.0,1.0,,0.0,0.256,2.0
10784-1,0.0,3,0.62,0.0,0.0,1.0,,0.0,0.218,2.0
10784-2,0.0,3,0.55,0.0,0.0,1.0,,0.0,0.052,2.0
10786-1,0.0,3,0.74,0.0,0.0,1.0,,0.0,0.597,2.0
10786-2,0.0,3,0.61,0.0,0.0,1.0,,0.0,0.441,2.0
10791-1,0.0,3,0.54,0.0,0.0,1.0,,0.0,0.261,2.0
10791-2,0.0,3,0.48,0.0,0.0,1.0,,0.0,0.189,2.0
10792-1,0.0,3,0.42,0.0,0.0,1.0,,0.0,0.14,2.0
10792-2,0.0,3,0.29,0.0,0.0,1.0,,0.0,0.147,2.0
10800-1,0.0,3,0.59,0.0,0.0,1.0,,0.0,0.366,2.0
10802-1,0.0,3,0.55,0.0,0.0,1.0,,0.0,0.493,2.0
10802-2,0.0,3,0.44,0.0,0.0,1.0,,0.0,0.118,2.0
10803-1,0.0,3,0.7,0.0,0.0,1.0,,0.0,0.999,2.0
10803-2,0.0,3,0.62,0.0,0.0,1.0,,0.0,0.276,2.0
10804-1,0.0,3,0.38,0.0,0.0,1.0,,0.0,0.272,2.0
10804-2,0.0,3,0.5,0.0,0.0,1.0,,0.0,0.111,2.0
10805-1,0.0,3,0.79,0.0,0.0,1.0,,0.0,0.633,2.0
10805-2,0.0,3,0.62,0.0,0.0,1.0,,0.0,0.144,2.0
10806-2,0.0,3,0.67,0.0,0.0,1.0,,0.0,0.149,2.0
10810-1,0.0,3,0.33999999999999997,0.0,0.0,1.0,,0.0,0.231,2.0
10812-1,0.0,3,0.61,0.0,0.0,1.0,,0.0,0.472,2.0
10812-2,0.0,3,0.45,0.0,0.0,1.0,,0.0,0.128,2.0
10813-1,0.0,3,0.6299999999999999,0.0,0.0,1.0,,0.0,0.681,2.0
10813-2,0.0,3,0.52,0.0,0.0,1.0,,0.0,0.185,2.0
10814-1,0.0,3,0.68,0.0,0.0,1.0,,0.0,0.252,2.0
10814-2,0.0,3,0.5,0.0,0.0,1.0,,0.0,0.087,2.0
10815-1,0.0,3,0.77,0.0,0.0,1.0,,0.0,0.271,2.0
10815-2,0.0,3,0.71,0.0,0.0,1.0,,0.0,0.093,2.0
10816-2,0.0,3,0.67,0.0,0.0,1.0,,0.0,0.077,2.0
10817-1,0.0,3,0.73,0.0,0.0,1.0,,0.0,0.22,2.0
10822-1,0.0,3,0.34,0.0,0.0,1.0,,0.0,0.087,2.0
10822-2,0.0,3,0.37,0.0,0.0,1.0,,0.0,0.093,2.0
10902-1,0.0,3,0.49,0.0,0.0,1.0,,0.0,0.245,2.0
10902-2,0.0,3,0.52,0.0,0.0,1.0,,0.0,0.121,2.0
10903-1,0.0,3,0.35,0.0,0.0,1.0,,0.0,0.547,2.0
10903-2,0.0,3,0.54,0.0,0.0,1.0,,0.0,0.841,2.0
10904-1,0.0,3,0.58,0.0,0.0,1.0,,0.0,0.569,2.0
10904-2,0.0,3,0.24,0.0,0.0,1.0,,0.0,0.583,2.0
10905-2,0.0,3,0.28,0.0,0.0,1.0,,0.0,0.058,2.0
11103-1,0.0,3,0.6,0.0,0.0,1.0,,0.0,0.307,2.0
11103-2,0.0,3,0.65,0.0,0.0,1.0,,0.0,0.03,2.0
11123-1,0.0,3,0.49,1.0,0.0,0.0,,0.0,0.17,5.47
11123-2,0.0,3,0.48,1.0,0.0,0.0,,0.0,0.268,6.0
11131-1,0.0,3,0.59,1.0,0.0,0.0,,0.0,1.629,2.94
11131-2,0.0,3,0.6,1.0,0.0,0.0,,0.0,1.06,5.47
11132-1,0.0,3,0.74,1.0,0.0,0.0,,0.0,2.984,2.67
11132-2,0.0,3,0.785,1.0,0.0,0.0,,0.0,2.091,5.0
11133-1,0.0,3,0.71,1.0,0.0,0.0,,0.0,3.15,2.7
11133-2,0.0,3,0.74,1.0,0.0,0.0,,0.0,2.962,5.0
11135-1,0.0,2,0.81,1.0,0.0,0.0,,0.0,0.672,2.97
11135-2,0.0,2,0.84,1.0,0.0,0.0,,0.0,0.835,5.12
11140-1,0.0,1,0.66,1.0,0.0,0.0,,0.0,3.61,2.96
11140-2,0.0,1,0.67,1.0,0.0,0.0,,0.0,3.511,3.64
11142-1,0.0,2,0.56,1.0,0.0,0.0,,0.0,3.647,2.37
11142-2,0.0,2,0.56,1.0,0.0,0.0,,0.0,2.236,4.97
11143-1,0.0,2,0.6,1.0,0.0,0.0,,0.0,2.301,3.24
11143-2,0.0,2,0.58,1.0,0.0,0.0,,0.0,2.177,2.14
11145-1,0.0,1,0.64,1.0,0.0,0.0,,0.0,3.279,3.69
11145-2,0.0,1,0.66,1.0,0.0,0.0,,0.0,3.115,2.23
11151-1,0.0,3,0.95,0.0,1.0,0.0,,0.0,0.051,8.0
11151-2,0.0,3,0.97,0.0,1.0,0.0,,0.0,0.107,8.0
11152-1,0.0,3,0.61,0.0,1.0,0.0,,0.0,0.148,5.67
11152-2,0.0,3,0.82,0.0,1.0,0.0,,0.0,0.229,7.69
11153-1,0.0,3,0.61,0.0,1.0,0.0,,0.0,0.181,8.0
11153-2,0.0,3,0.66,0.0,1.0,0.0,,0.0,0.25,8.0
11155-1,,3,,,,,,0.0,3.175,
11155-2,0.0,3,0.54,0.0,1.0,0.0,,0.0,2.955,8.0
11156-1,0.0,3,0.41500000000000004,0.0,1.0,0.0,,0.0,1.103,8.0
11156-2,0.0,3,0.51,0.0,1.0,0.0,,0.0,0.586,8.0
11157-1,0.0,3,0.6,0.0,1.0,0.0,,0.0,2.154,8.0
11157-2,0.0,3,0.76,0.0,1.0,0.0,,0.0,1.918,7.81
11158-1,0.0,3,0.62,0.0,1.0,0.0,,0.0,1.136,8.0
11158-2,0.0,3,0.77,0.0,1.0,0.0,,0.0,1.395,8.0
11174-1,0.0,3,0.5,1.0,0.0,0.0,,0.0,2.147,5.63
11174-2,0.0,3,0.41,1.0,0.0,0.0,,0.0,3.803,6.0
11178-1,0.0,3,0.48,1.0,0.0,0.0,,0.0,0.285,5.75
11178-2,0.0,3,0.42,1.0,0.0,0.0,,0.0,0.265,6.0
11185-1,0.0,2,0.85,0.0,1.0,0.0,,0.0,2.958,7.5
11185-2,0.0,2,0.885,0.0,1.0,0.0,,0.0,2.642,5.050000000000001
11186-1,,2,,,,,,0.0,0.393,
11186-2,0.0,2,0.84,0.0,1.0,0.0,,0.0,0.475,7.09
11189-1,0.0,1,0.755,0.0,1.0,0.0,,0.0,7.487,4.335
11189-2,0.0,1,0.7133333333333334,0.0,1.0,0.0,,0.0,6.735,2.3066666666666666
11194-1,0.0,2,0.5,0.0,1.0,0.0,,0.0,0.188,2.55
11194-2,0.0,2,0.57,0.0,1.0,0.0,,0.0,0.078,7.73
11206-3,1.0,3,0.895,0.0,0.0,1.0,,0.0,9.938,2.0
11207-3,1.0,3,0.8500000000000001,0.0,0.0,1.0,,0.0,11.229,2.0
11209-1,0.0,3,0.44,1.0,0.0,0.0,,0.0,0.186,2.66
11209-2,0.0,3,0.4,1.0,0.0,0.0,,0.0,0.013,5.38
11224-1,0.0,1,0.71,1.0,0.0,0.0,,0.0,0.025,1.0
11224-2,0.0,1,0.7,1.0,0.0,0.0,,0.0,0.041,1.91
11225-1,0.0,1,0.65,1.0,0.0,0.0,,0.0,3.177,1.02
11225-2,0.0,1,0.67,1.0,0.0,0.0,,0.0,3.327,1.99
11232-1,1.0,3,0.51,0.0,0.0,1.0,,0.0,3.258,2.0
11232-2,1.0,3,0.54,0.0,0.0,1.0,,0.0,4.169,2.04
11255-2,1.0,3,0.54,0.0,0.0,1.0,,0.0,1.058,2.0
11255-3,1.0,3,0.64,0.0,0.0,1.0,,0.0,14.835,2.0
11256-3,1.0,3,0.95,0.0,0.0,1.0,,0.0,8.804,2.0
11260-1,0.0,2,0.69,1.0,0.0,0.0,,0.0,0.026,3.15
11260-2,,2,,,,,,0.0,0.003,
11264-1,0.0,2,0.43,1.0,0.0,0.0,,0.0,0.035,2.67
11264-2,0.0,2,0.44,1.0,0.0,0.0,,0.0,0.011,3.55
11269-1,0.0,2,0.61,1.0,0.0,0.0,,0.0,0.074,2.0
11269-2,0.0,2,0.63,1.0,0.0,0.0,,0.0,0.016,3.88
11274-3,1.0,3,0.92,0.0,0.0,1.0,,0.0,46.89,2.0
11278-3,1.0,3,0.5,0.0,0.0,0.0,,0.0,0.118,2.0
11286-3,1.0,3,0.74,0.0,0.0,1.0,,0.0,7.474,2.0
11376-1,0.0,2,0.64,1.0,0.0,0.0,,0.0,0.162,2.55
11376-2,0.0,2,0.64,1.0,0.0,0.0,,0.0,0.194,5.0
11517-1,0.0,3,0.71,0.0,0.0,1.0,,0.0,6.45,2.0
11517-2,0.0,3,0.72,0.0,0.0,1.0,,0.0,6.253,2.0
11541-1,0.0,3,0.61,0.0,0.0,1.0,,0.0,4.174,2.0
11541-2,0.0,3,0.55,0.0,0.0,1.0,,0.0,3.92,2.0
11617-1,,1,,,,,,0.0,7.824,
11617-2,0.0,1,0.93,0.0,1.0,0.0,,0.0,9.205,2.23
11618-1,,1,,,,,,0.0,6.425,
11618-2,0.0,1,0.93,0.0,1.0,0.0,,0.0,5.542,2.26
11782-1,0.0,3,0.69,0.0,0.0,1.0,,0.0,0.298,2.0
11783-1,0.0,3,0.56,0.0,0.0,1.0,,0.0,0.138,2.0
11783-2,0.0,3,0.54,0.0,0.0,1.0,,0.0,0.111,2.0
11785-1,0.0,3,0.67,0.0,0.0,1.0,,0.0,0.389,2.0
11785-2,0.0,3,0.7,0.0,0.0,1.0,,0.0,0.246,2.0
11787-1,0.0,3,0.78,0.0,0.0,1.0,,0.0,0.339,2.0
11787-2,0.0,3,0.82,0.0,0.0,1.0,,0.0,0.168,2.0
11790-1,0.0,3,0.64,0.0,0.0,1.0,,0.0,0.061,2.0
11790-2,0.0,3,0.47,0.0,0.0,1.0,,0.0,0.126,2.0
11793-1,0.0,3,0.3,0.0,0.0,1.0,,0.0,0.102,2.0
11793-2,0.0,3,0.41,0.0,0.0,1.0,,0.0,0.102,2.06
11794-1,0.0,3,0.61,0.0,0.0,1.0,,0.0,0.122,2.0
11794-2,0.0,3,0.34,0.0,0.0,1.0,,0.0,0.2,2.0
11801-1,0.0,3,0.7875,0.0,0.0,1.0,,0.0,0.933,2.0
11801-2,0.0,3,0.56,0.0,0.0,1.0,,0.0,0.093,2.0
11807-1,0.0,3,0.53,0.0,0.0,1.0,,0.0,0.195,2.0
11823-1,0.0,3,0.58,0.0,0.0,1.0,,0.0,0.128,2.0
11823-2,0.0,3,0.53,0.0,0.0,1.0,,0.0,0.105,2.0
11824-1,0.0,3,0.5,0.0,0.0,1.0,,0.0,0.078,2.0
11824-2,0.0,3,0.55,0.0,0.0,1.0,,0.0,0.075,2.0
11825-1,0.0,3,0.69,0.0,0.0,1.0,,0.0,0.312,2.0
11825-2,0.0,3,0.57,0.0,0.0,1.0,,0.0,0.186,2.0
11842-1,0.0,3,0.63,0.0,0.0,1.0,,0.0,1.01,2.0
11842-2,0.0,3,0.53,0.0,0.0,1.0,,0.0,0.398,2.0
11843-1,0.0,3,0.77,0.0,0.0,1.0,,0.0,0.299,2.0
11843-2,0.0,3,0.57,0.0,0.0,1.0,,0.0,0.217,2.0
11844-1,0.0,3,0.64,0.0,0.0,1.0,,0.0,0.572,2.0
11844-2,0.0,3,0.64,0.0,0.0,1.0,,0.0,0.283,2.0
11845-1,0.0,3,0.75,0.0,0.0,1.0,,0.0,0.352,2.0
11845-2,0.0,3,0.65,0.0,0.0,1.0,,0.0,0.192,2.0
11882-1,0.0,3,0.9199999999999999,0.0,0.0,1.0,,0.0,0.181,2.0
11882-2,0.0,3,0.56,0.0,0.0,1.0,,0.0,0.096,2.0
11901-1,0.0,3,0.62,0.0,0.0,1.0,,0.0,0.372,2.0
11901-2,0.0,3,0.63,0.0,0.0,1.0,,0.0,0.72,2.0
11970-1,0.0,3,0.18,0.0,0.0,1.0,,0.0,0.154,2.0
11970-2,0.0,3,0.06,0.0,0.0,1.0,,0.0,0.152,2.0
11971-1,0.0,3,0.42,0.0,0.0,1.0,,0.0,0.151,2.0
11971-2,0.0,3,0.49,0.0,0.0,1.0,,0.0,0.028,2.0
11972-1,0.0,3,0.73,0.0,0.0,1.0,,0.0,0.024,2.0
11972-2,0.0,3,0.56,0.0,0.0,1.0,,0.0,0.009,2.0
12022-1,0.0,3,0.6950000000000001,0.0,0.0,1.0,,0.0,15.485,2.0
12022-2,0.0,3,0.65,0.0,0.0,1.0,,0.0,14.384,2.0
12025-1,0.0,3,0.5900000000000001,0.0,0.0,1.0,,0.0,12.695,2.0
12025-2,0.0,3,0.675,0.0,0.0,1.0,,0.0,15.638,2.0
12035-1,0.0,3,0.41,0.0,0.0,1.0,,0.0,7.251,2.0
12035-2,0.0,3,0.41,0.0,0.0,1.0,,0.0,7.726,2.0
12039-1,0.0,3,0.49,0.0,0.0,1.0,,0.0,21.655,2.0
12039-2,0.0,3,0.53,0.0,0.0,1.0,,0.0,32.233,2.0
12050-3,0.0,3,0.51,0.0,0.0,1.0,,0.0,2.344,2.0
12053-1,0.0,3,0.5066666666666667,0.0,0.0,1.0,,0.0,4.543,2.0
12053-2,0.0,3,0.51,0.0,0.0,1.0,,0.0,4.094,2.0
12065-1,0.0,3,0.8466666666666667,0.0,0.0,1.0,,0.0,22.871,2.0
12065-2,0.0,3,0.915,0.0,0.0,1.0,,0.0,16.028,2.0
12067-1,0.0,3,0.6200000000000001,0.0,0.0,1.0,,0.0,27.835,2.0
12067-2,0.0,3,0.55,0.0,0.0,1.0,,0.0,27.039,2.0
12069-1,0.0,3,0.79,0.0,0.0,1.0,,0.0,10.077,2.0
12069-2,0.0,3,0.81,0.0,0.0,1.0,,0.0,8.102,2.0
12137-1,0.0,3,0.95,1.0,0.0,0.0,,0.0,2.332,2.59
12137-2,0.0,3,0.98,1.0,0.0,0.0,,0.0,2.634,5.0
12138-3,0.0,3,0.8,1.0,0.0,0.0,,0.0,1.512,4.03
12154-1,,3,,,,,,0.0,3.226,
12154-2,0.0,3,0.6799999999999999,0.0,1.0,0.0,,0.0,3.463,7.855
12159-1,0.0,3,0.37,0.0,1.0,0.0,,0.0,0.062,5.0
12159-2,0.0,3,0.55,0.0,1.0,0.0,,0.0,0.119,7.6
12184-1,0.0,2,0.61,0.0,1.0,0.0,,0.0,0.315,2.63
12184-2,0.0,2,0.64,0.0,1.0,0.0,,0.0,0.412,7.82
12188-1,0.0,2,0.77,0.0,1.0,0.0,,0.0,1.294,7.72
12188-2,0.0,2,0.8400000000000001,0.0,1.0,0.0,,0.0,1.514,3.58
12192-1,0.0,2,0.66,1.0,0.0,0.0,,0.0,0.844,5.27
12192-2,0.0,2,0.66,1.0,0.0,0.0,,0.0,0.953,7.87
12195-1,0.0,2,0.84,0.0,1.0,0.0,,0.0,0.238,7.6
12195-2,0.0,2,0.8700000000000001,0.0,1.0,0.0,,0.0,0.299,5.01
12205-3,1.0,3,0.815,0.0,0.0,1.0,,0.0,10.254,2.0
12226-1,1.0,3,0.51,0.0,0.0,1.0,,0.0,4.043,2.0
12226-2,1.0,3,0.83,0.0,0.0,1.0,,0.0,6.054,2.0
12231-1,1.0,1,0.49,0.0,0.0,0.0,,0.0,2.434,2.0
12231-2,1.0,1,0.59,0.0,0.0,0.0,,0.0,3.611,2.03
12237-1,0.0,1,0.79,1.0,0.0,0.0,,0.0,2.552,1.05
12237-2,0.0,1,0.81,1.0,0.0,0.0,,0.0,2.442,2.87
12241-1,0.0,1,0.69,1.0,0.0,0.0,,0.0,0.044,1.0
12241-2,0.0,1,0.7,1.0,0.0,0.0,,0.0,0.111,1.97
12242-1,0.0,1,0.71,1.0,0.0,0.0,,0.0,0.1,1.0
12242-2,0.0,1,0.7,1.0,0.0,0.0,,0.0,0.093,2.0
12244-1,0.0,1,0.72,1.0,0.0,0.0,,0.0,0.042,1.0
12244-2,0.0,1,0.72,1.0,0.0,0.0,,0.0,0.084,1.96
12265-1,0.0,2,0.53,1.0,0.0,0.0,,0.0,0.026,2.0
12265-2,0.0,2,0.56,1.0,0.0,0.0,,0.0,0.004,3.76
12276-3,1.0,3,0.72,0.0,0.0,1.0,,0.0,2.324,2.0
12287-3,1.0,3,1.0,0.0,0.0,1.0,,0.0,2.359,2.0
12291-1,0.0,1,0.7799999999999999,1.0,0.0,0.0,,0.0,3.136,1.0633333333333332
12291-2,0.0,1,0.85,1.0,0.0,0.0,,0.0,4.125,1.95
12292-1,0.0,1,0.8240000000000001,1.0,0.0,0.0,,0.0,5.692,1.05
12292-2,0.0,1,0.82,1.0,0.0,0.0,,0.0,4.547,1.95
12293-1,0.0,1,0.7933333333333333,1.0,0.0,0.0,,0.0,4.783,1.0
12293-2,0.0,1,0.83,1.0,0.0,0.0,,0.0,4.679,1.96
12294-1,0.0,1,0.82,1.0,0.0,0.0,,0.0,2.455,1.1466666666666667
12294-2,0.0,1,0.89,1.0,0.0,0.0,,0.0,2.109,1.93
12295-1,0.0,1,0.54,1.0,0.0,0.0,,0.0,0.036,1.0
12295-2,0.0,1,0.55,1.0,0.0,0.0,,0.0,0.009,1.35
12345-1,0.0,1,0.61,1.0,0.0,0.0,,0.0,1.956,3.67
12345-2,0.0,1,0.63,1.0,0.0,0.0,,0.0,2.734,2.19
12363-1,0.0,2,0.81,1.0,0.0,0.0,,0.0,0.44,7.0
12363-2,0.0,2,0.81,1.0,0.0,0.0,,0.0,0.43,6.84
12366-1,0.0,2,0.5,1.0,0.0,0.0,,0.0,0.357,3.54
12366-2,0.0,2,0.51,1.0,0.0,0.0,,0.0,0.267,5.0
12374-1,0.0,2,0.67,1.0,0.0,0.0,,0.0,0.529,2.84
12374-2,0.0,2,0.68,1.0,0.0,0.0,,0.0,0.513,5.0
12531-3,0.0,3,0.86,0.0,0.0,1.0,,0.0,13.395,2.0
12630-1,0.0,1,0.73,0.0,1.0,0.0,,0.0,0.437,2.0
12630-2,0.0,1,0.72,0.0,1.0,0.0,,0.0,0.529,2.31
12716-1,0.0,3,0.38,0.0,0.0,1.0,,0.0,1.412,2.0
12716-2,0.0,3,0.4,0.0,0.0,1.0,,0.0,1.178,2.0
12745-1,0.0,3,0.69,0.0,0.0,1.0,,0.0,0.153,2.0
12811-1,0.0,3,0.7000000000000001,0.0,0.0,1.0,,0.0,1.106,2.0
12811-2,0.0,3,0.62,0.0,0.0,1.0,,0.0,0.2,2.0
12821-1,0.0,3,0.51,0.0,0.0,1.0,,0.0,0.115,2.0
12821-2,0.0,3,0.36,0.0,0.0,1.0,,0.0,0.107,2.0
12890-1,0.0,3,0.81,0.0,0.0,1.0,,0.0,0.149,2.0
12890-2,0.0,3,1.0,0.0,0.0,1.0,,0.0,0.033,2.0
12900-1,0.0,3,0.42,0.0,0.0,1.0,,0.0,0.148,2.0
12900-2,0.0,3,0.51,0.0,0.0,1.0,,0.0,0.189,2.0
13016-1,0.0,3,0.525,0.0,0.0,1.0,,0.0,11.857,2.0
13016-2,0.0,3,0.495,0.0,0.0,1.0,,0.0,14.704,2.0
13027-1,0.0,3,0.85,0.0,0.0,1.0,,0.0,2.535,2.825
13027-2,0.0,3,0.88,0.0,1.0,0.0,,0.0,5.107,2.0
13027-3,0.0,3,0.78,0.0,0.0,1.0,,0.0,13.462,2.185
13033-1,0.0,3,0.5266666666666667,0.0,0.0,1.0,,0.0,20.693,2.0
13033-2,0.0,3,0.495,0.0,0.0,1.0,,0.0,21.897,2.0
13036-1,0.0,3,0.83,0.0,0.0,1.0,,0.0,0.241,2.0
13036-2,0.0,3,0.76,0.0,0.0,1.0,,0.0,0.08,2.0
13036-3,0.0,3,0.78,0.0,0.0,1.0,,0.0,39.484,2.0
13042-1,0.0,3,0.66,0.0,0.0,1.0,,0.0,3.58,2.0
13042-2,0.0,3,0.69,0.0,0.0,1.0,,0.0,3.841,2.0
13045-1,0.0,3,0.58,0.0,0.0,1.0,,0.0,10.439,2.0
13045-2,0.0,3,0.65,0.0,0.0,1.0,,0.0,10.744,2.0
13047-1,0.0,3,0.42,0.0,0.0,1.0,,0.0,0.401,2.0
13047-2,0.0,3,0.37,0.0,0.0,1.0,,0.0,0.232,2.0
13052-1,0.0,3,0.36,0.0,0.0,1.0,,0.0,26.64,2.0
13052-2,0.0,3,0.345,0.0,0.0,1.0,,0.0,28.651,2.0
13054-1,0.0,3,0.48,0.0,0.0,1.0,,0.0,12.161,2.0
13054-2,0.0,3,0.46,0.0,0.0,1.0,,0.0,10.084,2.0
13059-1,,3,,,,,,0.0,32.018,
13059-2,,3,,,,,,0.0,33.843,
13064-1,0.0,3,0.61,0.0,0.0,1.0,,0.0,26.965,2.0
13064-2,0.0,3,0.675,0.0,0.0,1.0,,0.0,24.776,2.0
13068-1,0.0,3,0.82,0.0,0.0,1.0,,0.0,24.457,2.0
13068-2,0.0,3,0.7,0.0,0.0,1.0,,0.0,21.542,2.0
